_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6722891350538de2c27715b7,,66.76,97.74,66.76,67.07,130;0;0;0,words,25,-1,5,23.37,0,11.87,false,false,french,none,normal,false,false,false,,1730316563000
672288df50538de2c27712c3,,79.07,100,79.07,84.08,149;0;0;0,words,25,-1,1,22.61,0,1.56,false,false,french,none,normal,false,false,false,,1730316511000
672288b950538de2c27710bd,,80.58,96.82,80.58,72.17,152;0;0;0,words,25,-1,0,22.64,0,0,false,false,french,none,normal,false,false,false,,1730316473000
672288a050538de2c2770f53,,70.36,100,70.36,77.41,129;0;0;0,words,25,-1,8,22,0,43.72,false,false,french,none,normal,false,false,false,,1730316448000
6722883350538de2c27708e0,,67.85,96,67.85,62.68,144;0;0;0,words,25,-1,4,25.47,0,21.57,false,false,french,none,normal,false,false,false,,1730316339000
672287fc50538de2c27705d8,,75.35,100,75.35,81.76,143;0;0;0,words,25,-1,2,22.77,0,13.9,false,false,french,none,normal,false,false,false,,1730316284000
672287d150538de2c2770355,,73.15,98.63,73.15,73.39,144;0;0;0,words,25,-1,7,23.62,0,31.74,false,false,french,none,normal,false,false,false,,1730316241000
6722876250538de2c276fd56,,68.05,100,68.05,72.64,148;0;0;0,words,25,-1,8,26.1,0,15.74,false,false,french,none,normal,false,false,false,,1730316130000
6722872850538de2c276fa1e,,66.11,94.78,66.11,62.4,127;0;0;0,words,25,-1,0,23.05,0,0,false,false,french,none,normal,false,false,false,,1730316071000
6722870e50538de2c276f8d4,,74.9,98.68,74.9,74.16,147;0;0;0,words,25,-1,0,23.55,0,0,false,false,french,none,normal,false,false,false,,1730316046000
672286f050538de2c276f738,,77.03,100,77.03,75.76,129;0;0;0,words,25,-1,0,20.1,0,0,false,false,french,none,normal,false,false,false,,1730316016000
672286db50538de2c276f606,,60.45,96.73,60.45,71.21,148;0;0;0,words,25,-1,0,29.38,0,0,false,false,french,none,normal,false,false,false,,1730315995000
672286bc50538de2c276f476,,73.77,98.68,73.77,73.31,149;0;0;0,words,25,-1,4,24.24,0,19.87,false,false,french,none,normal,false,false,false,,1730315964000
6722867550538de2c276f0aa,,66.89,99.3,66.89,67.62,141;0;0;0,words,25,-1,13,25.3,0,67,false,false,french,none,normal,false,false,false,,1730315893000
6722860250538de2c276e9e8,,75.29,98.68,75.29,73.37,149;0;0;0,words,25,-1,0,23.75,0,0,false,false,french,none,normal,false,false,false,,1730315778000
672285e850538de2c276e87b,,62.05,95.39,65.59,65.4,140;2;0;0,words,25,-1,4,27.08,0,34.21,false,false,french,none,normal,false,false,false,,1730315752000
6722859f50538de2c276e479,,66.82,97.01,66.82,69.02,130;0;0;0,words,25,-1,5,23.35,0,22.7,false,false,french,none,normal,false,false,false,,1730315679000
67226ae350538de2c27529ad,,69.54,99.22,69.54,72.48,127;0;0;0,words,25,-1,1,21.92,0,2.21,false,false,french,none,normal,false,false,false,,1730308835000
67226abf50538de2c2752709,,64.42,97.84,64.42,66.41,135;0;0;0,words,25,-1,5,25.15,0,24.14,false,false,french,none,normal,false,false,false,,1730308799000
67226a8350538de2c2752298,,63.7,98.69,63.7,59.62,151;0;0;0,words,25,-1,1,28.45,0,5.95,false,false,french,none,normal,false,false,false,,1730308739000
67226a2950538de2c2751bf3,,76.98,97.37,76.98,69.88,148;0;0;0,words,25,-1,9,23.07,0,36.43,false,false,french,none,normal,false,false,false,,1730308649000
672269d450538de2c27515dc,,79.41,100,79.41,78.66,145;0;0;0,words,25,-1,0,21.91,0,0,false,false,french,none,normal,false,false,false,,1730308564000
672269ba50538de2c27513f0,,79.89,100,79.89,85.96,156;0;0;0,words,25,-1,9,23.43,0,37.09,false,false,french,none,normal,false,false,false,,1730308538000
6722696f50538de2c2750ece,,64.79,95.17,70.64,71.04,133;4;1;0,words,25,-1,4,24.63,0,37.64,false,false,french,none,normal,false,false,false,,1730308463000
6722303550538de2c270fd46,,61.47,97.83,61.47,66.19,134;0;0;0,words,25,-1,3,26.16,0,9.25,false,false,french,none,normal,false,false,false,,1730293813000
6722278d50538de2c2707978,,70.7,96.67,70.7,65.37,144;0;0;0,words,25,-1,2,24.44,0,13.56,false,false,french,none,normal,false,false,false,,1730291597000
6722275b50538de2c27076a5,,73.96,100,73.96,71.63,140;0;0;0,words,25,-1,1,22.71,0,12.65,false,false,french,none,normal,false,false,false,,1730291547000
6722273050538de2c2707431,,60.16,97.44,60.16,66.34,152;0;0;0,words,25,-1,4,30.32,0,23.63,false,false,french,none,normal,false,false,false,,1730291504000
672226e750538de2c270703b,,60.82,97.18,60.82,71.48,136;0;0;0,words,25,-1,3,26.83,0,10.61,false,false,french,none,normal,false,false,false,,1730291431000
6722236850538de2c2703e07,,69.35,97.33,71.76,70.88,144;2;0;0,words,25,-1,1,24.92,0,6.13,false,false,french,none,normal,false,false,false,,1730290536000
6722234450538de2c2703c1c,,71.42,98.22,71.42,67.44,166;0;0;0,words,25,-1,1,27.89,0,16.39,false,false,french,none,normal,false,false,false,,1730290500000
6722230f50538de2c2703957,,76.44,100,76.44,79.52,136;0;0;0,words,25,-1,4,21.35,0,45.01,false,false,french,none,normal,false,false,false,,1730290447000
672222c350538de2c2703577,,66.3,94.34,69.43,78.58,148;3;1;0,words,25,-1,0,26.79,0,0,false,false,french,none,normal,false,false,false,,1730290371000
672222a650538de2c2703405,,72.39,100,72.39,73.05,140;0;0;0,words,25,-1,0,23.21,0,0,false,false,french,none,normal,false,false,false,,1730290342000
6722228d50538de2c27032a4,,72.87,100,72.87,77.67,145;0;0;0,words,25,-1,2,23.88,0,1,false,false,french,none,normal,false,false,false,,1730290317000
6722223f50538de2c2702e9e,,75.64,100,75.64,82.79,142;0;0;0,words,25,-1,0,22.53,0,0,false,false,french,none,normal,false,false,false,,1730290239000
672221fa50538de2c2702b2d,,70.91,97.93,70.91,69.94,142;0;0;0,words,25,-1,4,24.03,0,20.56,false,false,french,none,normal,false,false,false,,1730290170000
672221c550538de2c270288a,,66.02,95.68,66.02,64.37,133;0;0;0,words,25,-1,2,24.17,0,4.76,false,false,french,none,normal,false,false,false,,1730290117000
672221a050538de2c27026a0,,56.7,93.01,61.61,64.41,127;3;0;0,words,25,-1,3,26.88,0,11.06,false,false,french,none,normal,false,false,false,,1730290080000
6722217550538de2c2702468,,62.33,95.36,64.57,71.69,139;0;1;0,words,25,-1,2,26.76,0,6.65,false,false,french,none,normal,false,false,false,,1730290037000
6722214b50538de2c270223a,,66.68,97.33,69.5,65.23,142;1;0;0,words,25,-1,0,25.55,0,0,false,false,french,none,normal,false,false,false,,1730289995000
6722212f50538de2c27020d3,,73.18,99.39,73.18,74.65,162;0;0;0,words,25,-1,1,26.56,0,22.02,false,false,french,none,normal,false,false,false,,1730289967000
672220f350538de2c2701ddd,,62.1,95.35,62.1,69.34,163;0;0;0,words,25,-1,1,31.5,0,0.23,false,false,french,none,normal,false,false,false,,1730289907000
672220cf50538de2c2701c1d,,64.29,98.76,66.38,65.5,154;0;0;1,words,25,-1,1,28.74,1,1.63,false,false,french,none,normal,false,false,false,,1730289871000
6722208d50538de2c27018e9,,58.86,94,69.05,64.91,127;3;2;0,words,25,-1,4,25.89,0,18.9,false,false,french,none,normal,false,false,false,,1730289805000
6722205850538de2c2701679,,73.32,95.49,76.81,74.47,126;3;0;1,words,25,-1,0,20.62,0,0,false,false,french,none,normal,false,false,false,,1730289752000
6722203d50538de2c2701549,,77.81,100,77.81,75.49,139;0;0;0,words,25,-1,2,21.44,0,22.85,false,false,french,none,normal,false,false,false,,1730289725000
6722200150538de2c2701235,,69.97,98.67,69.97,67.65,147;0;0;0,words,25,-1,0,25.21,0,0,false,false,french,none,normal,false,false,false,,1730289665000
67221fe250538de2c27010c2,,67.21,99.32,67.21,61.44,145;0;0;0,words,25,-1,0,25.89,0,0,false,false,french,none,normal,false,false,false,,1730289634000
67221fc650538de2c2700f4a,,67.77,95.77,67.77,64.35,135;0;0;0,words,25,-1,1,23.9,0,1.85,false,false,french,none,normal,false,false,false,,1730289606000
67221fa750538de2c2700ddd,,73.22,99.37,73.22,68.3,158;0;0;0,words,25,-1,2,25.89,0,4.57,false,false,french,none,normal,false,false,false,,1730289575000
67221f7c50538de2c2700bbc,,62.62,95.17,62.62,61.04,138;0;0;0,words,25,-1,4,26.44,0,28.29,false,false,french,none,normal,false,false,false,,1730289532000
67221f3650538de2c2700837,,70.08,100,70.08,72.97,148;0;0;0,words,25,-1,3,25.34,0,9.11,false,false,french,none,normal,false,false,false,,1730289462000
67221f0b50538de2c270061f,,63.6,97.81,63.6,62.96,134;0;0;0,words,25,-1,2,25.28,0,2.24,false,false,french,none,normal,false,false,false,,1730289419000
67221ebc50538de2c2700285,,67.24,94.86,69.74,64.7,161;1;0;0,words,25,-1,1,28.73,0,26.09,false,false,french,none,normal,false,false,false,,1730289340000
67221e7e50538de2c26fff8a,,63.94,97.06,63.94,72.45,130;0;0;0,words,25,-1,1,24.4,0,1.67,false,false,french,none,normal,false,false,false,,1730289278000
67221e5550538de2c26ffd73,,56.94,98.63,56.94,46.72,143;0;0;0,words,25,-1,1,30.14,4,0.84,false,false,french,none,normal,false,false,false,,1730289237000
67221e3250538de2c26ffbcb,,58.76,93.1,58.76,60.68,135;0;0;0,words,25,-1,3,27.57,0,3.6,false,false,french,none,normal,false,false,false,,1730289202000
67221e0650538de2c26ff9cf,,69.86,99.32,69.86,69.28,146;0;0;0,words,25,-1,9,25.08,0,60.61,false,false,french,none,normal,false,false,false,,1730289158000
67221d8250538de2c26ff3e8,,68.97,98.63,72.44,69.5,139;0;1;0,words,25,-1,3,24.19,0,17.65,false,false,french,none,normal,false,false,false,,1730289026000
67221d5250538de2c26ff1b4,,70.98,95.09,70.98,64.66,155;0;0;0,words,25,-1,0,26.21,0,0,false,false,french,none,normal,false,false,false,,1730288978000
67221d0650538de2c26fee29,,74.52,98,74.52,77.69,147;0;0;0,words,25,-1,4,23.67,0,24.6,false,false,french,none,normal,false,false,false,,1730288902000
67221cc850538de2c26feb86,,57.76,99.16,60.27,64.93,115;1;0;0,words,25,-1,4,23.89,0,19.98,false,false,french,none,normal,false,false,false,,1730288840000
67221c9250538de2c26fe93a,,74.32,98.77,75.24,68.89,161;1;0;0,words,25,-1,0,26,1,0,false,false,french,none,normal,false,false,false,,1730288786000
67221c5a50538de2c26fe704,,66.89,98.4,66.89,60.21,123;0;0;0,words,25,-1,2,22.07,0,7.16,false,false,french,none,normal,false,false,false,,1730288730000
67221c3950538de2c26fe59a,,60.69,93.18,60.69,67.15,163;0;0;0,words,25,-1,2,32.23,0,18.42,false,false,french,none,normal,false,false,false,,1730288697000
67221bfe50538de2c26fe30e,,64.32,96.13,67.92,69.25,143;1;0;0,words,25,-1,0,26.68,0,0,false,false,french,none,normal,false,false,false,,1730288638000
67221be250538de2c26fe1dd,,71.44,95.54,71.44,62.01,149;0;0;0,words,25,-1,2,25.03,0,1.78,false,false,french,none,normal,false,false,false,,1730288610000
67221bc350538de2c26fe094,,67.21,98.74,67.21,64.61,157;0;0;0,words,25,-1,0,28.03,0,0,false,false,french,none,normal,false,false,false,,1730288579000
